2025-10-28 12:54:55.228 | INFO     | main:<module>:101 - ✅ 已建立新集合 'pais_knowledge_base'
2025-10-28 12:54:55.247 | INFO     | main:startup_event:609 - 🚀 PAIS 系統啟動 (LangChain Powered)
2025-10-28 12:54:55.248 | INFO     | main:startup_event:610 - 📍 Qdrant: qdrant:6333
2025-10-28 12:54:55.249 | INFO     | main:startup_event:611 - 📚 集合: pais_knowledge_base
2025-10-28 12:54:55.249 | INFO     | main:startup_event:612 - 🤖 Agents: 3 工具
2025-10-28 12:54:55.249 | INFO     | main:startup_event:613 - 🧠 Memory: ConversationBufferMemory
2025-10-28 12:58:01.615 | INFO     | main:ingest_documents:473 - 📚 開始處理 38 個檔案
2025-10-28 12:58:01.617 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/張善政個人資料.docx: No module named 'docx2txt'
2025-10-28 12:58:01.633 | INFO     | main:load_document:273 - ✅ 載入: documents/張善政個人資料.txt (1 文件)
2025-10-28 12:58:01.635 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/敏感詞與禁止內容清單.docx: No module named 'docx2txt'
2025-10-28 12:58:01.637 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20230322第一次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.655 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20230322第一次施政報告.txt (1 文件)
2025-10-28 12:58:01.657 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20231011第二次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.672 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20231011第二次施政報告.txt (1 文件)
2025-10-28 12:58:01.674 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20240329第三次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.689 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20240329第三次施政報告.txt (1 文件)
2025-10-28 12:58:01.691 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20240930第四次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.707 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20240930第四次施政報告.txt (1 文件)
2025-10-28 12:58:01.709 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20250408第五次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.725 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20250408第五次施政報告.txt (1 文件)
2025-10-28 12:58:01.729 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/20251008第六次施政報告.docx: No module named 'docx2txt'
2025-10-28 12:58:01.745 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/20251008第六次施政報告.txt (1 文件)
2025-10-28 12:58:01.748 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/核心政策-施政報告/張善政競選桃園市長政見.docx: No module named 'docx2txt'
2025-10-28 12:58:01.766 | INFO     | main:load_document:273 - ✅ 載入: documents/核心政策-施政報告/張善政競選桃園市長政見.txt (1 文件)
2025-10-28 12:58:01.779 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20120517台灣雲端計算的迷思與挑戰.txt (1 文件)
2025-10-28 12:58:01.794 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20180309大數據的時代下，你我該如何面對.txt (1 文件)
2025-10-28 12:58:01.814 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20190108台灣的農業出路：張善政與台大生傳EMBA演講與互動.txt (1 文件)
2025-10-28 12:58:01.829 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20190522張善政新書「做事的人」發表會.txt (1 文件)
2025-10-28 12:58:01.840 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20191220張善政推動數位社會 再問蔡賴配如何解決兩岸關係－民視新聞.txt (1 文件)
2025-10-28 12:58:01.842 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20200612國家衛生研究院生物醫學學術演討會大會特別演講.docx: No module named 'docx2txt'
2025-10-28 12:58:01.854 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20200612國家衛生研究院生物醫學學術演討會大會特別演講.txt (1 文件)
2025-10-28 12:58:01.856 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20210529挑戰與危機給我的淬煉.docx: No module named 'docx2txt'
2025-10-28 12:58:01.873 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20210529挑戰與危機給我的淬煉.txt (1 文件)
2025-10-28 12:58:01.875 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20221027綠爆任「數字王國」批陸資 張善政還原經過再嗆「這句」：目光如豆 沒國際視野 @ChinaTimes.docx: No module named 'docx2txt'
2025-10-28 12:58:01.885 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20221027綠爆任「數字王國」批陸資 張善政還原經過再嗆「這句」：目光如豆 沒國際視野 @ChinaTimes.txt (1 文件)
2025-10-28 12:58:01.887 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20230905人本交通與城市發展.docx: No module named 'docx2txt'
2025-10-28 12:58:01.902 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20230905人本交通與城市發展.txt (1 文件)
2025-10-28 12:58:01.905 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20241225張善政向賴總統提建議.docx: No module named 'docx2txt'
2025-10-28 12:58:01.917 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20241225張善政向賴總統提建議.txt (1 文件)
2025-10-28 12:58:01.920 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20250601中央大學畢業典禮致詞.docx: No module named 'docx2txt'
2025-10-28 12:58:01.930 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20250601中央大學畢業典禮致詞.txt (1 文件)
2025-10-28 12:58:01.943 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20251007張善政現身挖土機超人靈堂 .txt (1 文件)
2025-10-28 12:58:01.945 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20251007張善政現身挖土機超人靈堂_.docx: No module named 'docx2txt'
2025-10-28 12:58:01.947 | ERROR    | main:load_document:276 - ❌ 載入失敗 documents/演講稿-語氣模仿資料/20251010桃園國慶升旗.docx: No module named 'docx2txt'
2025-10-28 12:58:01.963 | INFO     | main:load_document:273 - ✅ 載入: documents/演講稿-語氣模仿資料/20251010桃園國慶升旗.txt (1 文件)
2025-10-28 12:58:01.968 | INFO     | main:ingest_documents:494 - 📄 分割完成: 140 個片段
2025-10-28 12:58:03.672 | ERROR    | main:ingest_documents:508 - ❌ 上傳失敗: Unexpected Response: 400 (Bad Request)
Raw response content:
b'{"status":{"error":"Wrong input: Vector dimension error: expected dim: 768, got 384"},"time":0.009188435}'
